Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Author 1,Categoria Author 1,Author 2,Categoria Author 2
2014,A MULTIDISCIPLINARY DESIGN OPTIMIZATION TOOL FOR SPACECRAFT EQUIPMENT LAYOUT CONCEPTION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,WALTER ABRAHAO DOS SANTOS,Docente,SANDRA APARECIDA SANDRI,Docente
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,JOSE RENATO GARCIA BRAGA,Discente - Doutorado,VITOR CONRADO FARIA GOMES,Participante Externo
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,JOSE RENATO GARCIA BRAGA,Discente - Doutorado,ELCIO HIDEITI SHIGUEMORI,Participante Externo
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,JOSE RENATO GARCIA BRAGA,Discente - Doutorado,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,VITOR CONRADO FARIA GOMES,Participante Externo,ELCIO HIDEITI SHIGUEMORI,Participante Externo
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,VITOR CONRADO FARIA GOMES,Participante Externo,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2014,A NEW METHOD OF DIMENSIONALITY REDUCTION OF HYPERSPECTRAL IMAGES IMPLEMENTED IN FPGA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,ELCIO HIDEITI SHIGUEMORI,Participante Externo,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2014,A RDF VOCABULARY FOR SPATIOTEMPORAL OBSERVATION DATA SOURCES,BIBLIOGRÁFICA,TRABALHO EM ANAIS,KARINE REIS FERREIRA GOMES,Docente,DIEGO BENINCASA FERNANDES CAVALCANTI DE ALMEIDA,Discente - Mestrado
2014,A RDF VOCABULARY FOR SPATIOTEMPORAL OBSERVATION DATA SOURCES,BIBLIOGRÁFICA,TRABALHO EM ANAIS,KARINE REIS FERREIRA GOMES,Docente,ANTONIO MIGUEL VIEIRA MONTEIRO,Docente
2014,A RDF VOCABULARY FOR SPATIOTEMPORAL OBSERVATION DATA SOURCES,BIBLIOGRÁFICA,TRABALHO EM ANAIS,DIEGO BENINCASA FERNANDES CAVALCANTI DE ALMEIDA,Discente - Mestrado,ANTONIO MIGUEL VIEIRA MONTEIRO,Docente
2014,ADVANCED COMPUTATIONAL AND EXPERIMENTAL TECHNIQUES IN NONLINEAR DYNAMICS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,ELBERT EINSTEIN NEHRER MACAU,Docente,C. L. PANDO LAMBRUSCHINI,Participante Externo
2014,ALGORITMO GENÉTICO E MÉTODO VARIACIONAL NA IDENTIFICAÇÃO DE DANOS ESTRUTURAIS: MÉTODO HÍBRIDO E ABORDAGEM HIERÁRQUICA,BIBLIOGRÁFICA,LIVRO,LEONARDO BACELAR LIMA SANTOS,Discente - Doutorado,LEONARDO DAGNINO CHIWIACOWSKY,Participante Externo
2014,ALGORITMO GENÉTICO E MÉTODO VARIACIONAL NA IDENTIFICAÇÃO DE DANOS ESTRUTURAIS: MÉTODO HÍBRIDO E ABORDAGEM HIERÁRQUICA,BIBLIOGRÁFICA,LIVRO,LEONARDO BACELAR LIMA SANTOS,Discente - Doutorado,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2014,ALGORITMO GENÉTICO E MÉTODO VARIACIONAL NA IDENTIFICAÇÃO DE DANOS ESTRUTURAIS: MÉTODO HÍBRIDO E ABORDAGEM HIERÁRQUICA,BIBLIOGRÁFICA,LIVRO,LEONARDO DAGNINO CHIWIACOWSKY,Participante Externo,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2014,AN ALGEBRA FOR SPATIOTEMPORAL DATA: FROM OBSERVATIONS TO EVENTS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,KARINE REIS FERREIRA GOMES,Docente,GILBERTO CAMARA NETO,Docente
2014,AN ALGEBRA FOR SPATIOTEMPORAL DATA: FROM OBSERVATIONS TO EVENTS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,KARINE REIS FERREIRA GOMES,Docente,ANTONIO MIGUEL VIEIRA MONTEIRO,Docente
2014,AN ALGEBRA FOR SPATIOTEMPORAL DATA: FROM OBSERVATIONS TO EVENTS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,GILBERTO CAMARA NETO,Docente,ANTONIO MIGUEL VIEIRA MONTEIRO,Docente
2014,AN ALTERNATIVE MANIFOLD FOR COSMOLOGY USING SEIFERT FIBERED AND HYPERBOLIC SPACES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,MARIA ESTHER MEJÍA,Sem Categoria,REINALDO ROBERTO ROSA,Docente
2014,AN ANALYTICAL FRAMEWORK FOR DISTRIBUTED COORDINATED SCHEDULING IN IEEE 802.16 WIRELESS MESH NETWORKS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,CECILIA DE AZEVEDO CASTRO CESAR,Participante Externo,SOLON VENANCIO DE CARVALHO,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,FLAVIA DE TOLEDO MARTINS BEDE,Discente - Doutorado,MARIANE SOUZA REIS,Participante Externo
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,FLAVIA DE TOLEDO MARTINS BEDE,Discente - Doutorado,ELIANA PANTALEAO,Participante Externo
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,FLAVIA DE TOLEDO MARTINS BEDE,Discente - Doutorado,LUCIANO VIEIRA DUTRA,Docente
2014,AN APPLICATION OF MULTIPLE SPACE NEAREST NEIGHBOR CLASSIFIER IN LAND COVER CLASSIFICATION,BIBLIOGRÁFICA,TRABALHO EM ANAIS,FLAVIA DE TOLEDO MARTINS BEDE,Discente - Doutorado,SANDRA APARECIDA SANDRI,Docente
