Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Docente,Egresso,Participante Externo,Pós-Doc,Sem Categoria,Discente,Sem categoria
2014,REVISOR DE TRABALHOS SUBMETIDOS AO XXI SIMPEP - SIMPÓSIO DE ENGENHARIA DE PRODUÇÃO. NÚMERO DE TRABALHOS AVALIADOS: 3,TÉCNICA,SERVIÇOS TÉCNICOS,1,0,0,0.0,0.0,0,0.0
2014,REVISOR DE TRABALHOS SUBMETIDOS AO XXXIV ENEGEP - ENCONTRO NACIONAL DE ENGENHARIA DE PRODUÇÃO. NÚMERO DE TRABALHOS AVALIADOS: 4,TÉCNICA,SERVIÇOS TÉCNICOS,1,0,0,0.0,0.0,0,0.0
2014,REVISOR DE TRABALHOS SUBMETIDOS À REVISTA PESQUISA OPERACIONAL PARA O DESENVOLVIMENTO. NÚMERO DE TRABALHOS AVALIADOS: 2,TÉCNICA,SERVIÇOS TÉCNICOS,1,0,0,0.0,0.0,0,0.0
2014,REVISOR DE TRABALHOS SUBMETIDOS À REVISTA PRODUÇÃO. NÚMERO DE TRABALHOS AVALIADOS: 2,TÉCNICA,SERVIÇOS TÉCNICOS,1,0,0,0.0,0.0,0,0.0
2014,SEGMENTAÇÃO DE IMAGENS SAR USANDO ABORDAGEM PROBABILÍSTICA BASEADA EM DISTRIBUIÇÃO GAMA,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,2,0,1,0.0,0.0,0,0.0
2014,SIMPLE PROCEDURE FOR ROBUST AND ACCURATE COMPLEX PERMITTIVITY MEASUREMENTS OF LOW-LOSS MATERIALS OVER A BROAD FREQUENCY BAND,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,0,0.0,0.0,0,0.0
2014,SINTONIA-FINA DE METAHEURÍSTICAS - ABORDAGEM POR MEIO DE PLANEJAMENTO DE EXPERIMENTOS (DOE),BIBLIOGRÁFICA,TRABALHO EM ANAIS,1,0,2,0.0,0.0,0,0.0
2014,SOCIAL NETWORK ANALYSIS AND PARTICIPATION IN LEARNING ENVIRONMENTS TO DIGITAL INCLUSION BASED ON LARGE-SCALE DISTANCE EDUCATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,6,0.0,0.0,0,0.0
2014,SOLITON GENERATION USING NONLINEAR TRANSMISSION LINES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,0,3,0.0,0.0,0,0.0
2014,"SPATIAL MODELING OF THE SCHISTOSOMIASIS MANSONI IN MINAS GERAIS STATE, BRAZIL USING SPATIAL REGRESSION",BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,2,0,3,0.0,0.0,0,0.0
