Ano da Produção,Título da Produção,Glosada,ISSN,Título do Periódico,DOI,URL,Tipo,Subtipo,Idioma,Autores,Categorias
2015,DATA SCIENCE AND NATURAL DISASTERS,Sim,,,,-,TÉCNICA,APRESENTAÇÃO DE TRABALHO,Português,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2015,DECOMPOSIÇÃO LAGRANGEANA DESBALANCEADA PARA O PROBLEMA DE ROTULAÇÃO CARTOGRÁFICA DE PONTOS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,SOSTENES PEREIRA GOMES ; LUIZ ANTONIO NOGUEIRA LORENA ; GLAYDSTON MATTOS RIBEIRO ; GERALDO REGIS MAURI,Discente - Doutorado ; Docente ; Participante Externo ; Participante Externo
2015,DEMOCRITOS DEMONSTRATORS FOR REALIZATION OF NUCLEAR ELECTRIC PROPULSION OF THE EUROPEAN ROADMAPS MEGAHIT & DIPOP IEPC-2015-91079,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,LAMARTINE NOGUEIRA FRUTUOSO GUIMARAES,Docente
2015,DETECTING PHASE SYNCHRONIZATION IN CHAOTIC NON-COHERENT ROSSLER SYSTEMS USING DISCRETE COMPLEX WAVELET APPROACH (DCWA): PRELIMINARIES RESULTS.,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,MARIA TEODORA FERREIRA ; MARGARETE OLIVEIRA DOMINGUES ; ELBERT EINSTEIN NEHRER MACAU,Participante Externo ; Docente ; Docente
2015,"DETERMINATION OF REFERENCE-PLANE INVARIANT, THICKNESS-INDEPENDENT, AND BROADBAND CONSTITUTIVE PARAMETERS OF THIN MATERIALS",Sim,0018-9480,IEEE Transactions on Microwave Theory and Techniques,,[http://www.ieeexplore.ieee.org],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Português,JOAQUIM JOSE BARROSO DE CASTRO,Docente
2015,"DEVELOPMENT OF DISSIMILARITY FUNCTIONS USING STOCHASTIC DISTANCES FOR REGION-BASED LAND COVER CLASSIFICATION: A CASE STUDY NEAR TAPAJÓS FLONA, PARÁ STATE, BRAZIL",Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,SIDNEI JOAO SIQUEIRA SANT ANNA,Docente
2015,DIMENSIONALITY REDUCTION USING ROUGH SET APPROACH FOR CLIMATE PREDICTION,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,JULIANA APARECIDA ANOCHI ; HAROLDO FRAGA DE CAMPOS VELHO,Discente - Doutorado ; Docente
2015,DYNAMIC GENERATED ADAPTERS FROM ADAPTIVE OBJECT MODELS TO STATIC APIS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,EDUARDO MARTINS GUERRA,Docente
2015,DYNAMIC TIME WARPING APPLIED TO SPATIOTEMPORAL AGRICULTURE MAPPING IN THE BRAZILIAN AMAZON,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,VICTOR WEGNER MAUS ; GILBERTO CAMARA NETO ; RICARDO CARTAXO MODESTO DE SOUZA ; FERNANDO MANOEL RAMOS,Participante Externo ; Docente ; Participante Externo ; Docente
2015,EDDA - ESTIMADOR DE DENSIDADE DE DESCARGAS ELÉTRICAS ATMOSFÉRICAS,Sim,,,,-,TÉCNICA,DESENVOLVIMENTO DE APLICATIVO,-,STEPHAN STEPHANY,Docente
2015,EDDA-CHUVA - ESTIMADOR DE CHUVA CONVECTIVA USANDO DADOS DE DESCARGAS ELÉTRICAS ATMOSFÉRICA,Sim,,,,-,TÉCNICA,DESENVOLVIMENTO DE APLICATIVO,-,STEPHAN STEPHANY,Docente
2015,ENHANCEMENT OF SPACE PLASMA IMAGES BY COMPLEX WAVELETS,Sim,0103-9733,Brazilian Journal of Physics (Impresso),,[http://link.springer.com/article/10.1007/s13538-015-0349-4/fulltext.html],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,VITOR MOURA CARDOSO E SILVA SOUZA ; MARGARETE OLIVEIRA DOMINGUES ; ODIM MENDES JUNIOR ; AYLTON PAGAMISSE ; Guillermo Stenborg,Participante Externo ; Docente ; Participante Externo ; Participante Externo ; Participante Externo
2015,ESTIMATIO OF UAV POSITION WITH USE OF INFRARED IMAGES,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,WANESSA DA SILVA ; ELCIO HIDEITI SHIGUEMORI ; NANDAMUDI LANKALAPALLI VIJAYKUMAR ; HAROLDO FRAGA DE CAMPOS VELHO,Discente - Mestrado ; Participante Externo ; Docente ; Docente
2015,ESTIMATION OF TUMOR SIZE EVOLUTION USING PARTICLE FILTERS,Sim,1066-5277,Journal of Computational Biology,,[http://online.liebertpub.com/toc/cmb/0/0],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,HAROLDO FRAGA DE CAMPOS VELHO,Docente
2015,ESTIMATION OF UAV POSITION USING LIDAR IMAGES FOR AUTONOMOUS NAVIGATION OVER THE OCEAN,Sim,,,,[http://seat.massey.ac.nz/conferences/icst2015/],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,JOSE RENATO GARCIA BRAGA ; HAROLDO FRAGA DE CAMPOS VELHO ; ELCIO HIDEITI SHIGUEMORI,Discente - Doutorado ; Docente ; Participante Externo
2015,ESTIMATION OF UAV POSITION WITH USE OF THERMAL INFRARED IMAGES,Sim,,,,[http://seat.massey.ac.nz/conferences/icst2015/],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,WANESSA DA SILVA ; ELCIO HIDEITI SHIGUEMORI ; NANDAMUDI LANKALAPALLI VIJAYKUMAR ; HAROLDO FRAGA DE CAMPOS VELHO,Discente - Mestrado ; Participante Externo ; Docente ; Docente
2015,ESTUDO EXPERIMENTAL E COMPARATIVO DAS PROPRIEDADES ELETROMAGNÉTICAS DE METAMATERIAIS DE ANÉIS REPARTIDOS NÃO-UNIFORMES E UNIFORMES,Sim,,,,[http://www.cbecimat.com.br],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,PEDRO JOSE DE CASTRO ; JOAQUIM JOSE BARROSO DE CASTRO ; JOAQUIM PAULINO LEITE NETO,Participante Externo ; Docente ; Participante Externo
2015,ESTUDOS PRELIMINARES USANDO MINERAÇÃO DE DADOS PARA EPISÓDIOS DE ENCHENTES: ESTADOS DE ALAGOAS E PERNAMBUCO (JUNHO - 2010),Sim,,,,[http://coral.ufsm.br/micrometeorologia/index.php/programacao/2-uncategorised/8-pre-programacao],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,HELOISA MUSETTI ; HAROLDO FRAGA DE CAMPOS VELHO ; FERNANDO MANOEL RAMOS ; SAULO RIBEIRO DE FREITAS,Participante Externo ; Docente ; Docente ; Participante Externo
2015,EUROPEAN ROADMAP MEGAHIT# AND DEMOCRITOS* PROJECT FOR NUCLEAR ELECTRIC PROPULSION SPACE MISSIONS,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,LAMARTINE NOGUEIRA FRUTUOSO GUIMARAES,Docente
2015,EXPERIENCES WITH A SOCIO-ENVIRONMENTAL MODELING COURSE,Sim,1988-3145,Modelling in Science Education and Learning,,[http://polipapers.upv.es/index.php/MSEL/article/view/2811/3711][doi:10.4995/msel.2015.2811],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,PEDRO RIBEIRO DE ANDRADE NETO ; GILBERTO CAMARA NETO ; RAIAN VARGAS MARETTO ; ANTONIO MIGUEL VIEIRA MONTEIRO ; TIAGO GARCIA DE SENNA CARNEIRO ; FLAVIA DA FONSECA FEITOSA,Participante Externo ; Docente ; Discente - Doutorado ; Docente ; Participante Externo ; Participante Externo
2015,FULL CALIBRATION FOR HELICOPTER SIMULATOR,Sim,,,,[http://eurognc2015.onera.fr/sites/w3.onera.fr.eurognc2015/files/39-Full%20Calibration%20for%20Helicopter%20Simulation.pdf],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,IVANA YOSHIE SUMIDA ; HAROLDO FRAGA DE CAMPOS VELHO ; EDUARDO FAVERO PACHECO DA LUZ ; RONALDO VIEIRA CRUZ ; LUIZ CARLOS SANDOVAL GOES,Discente - Doutorado ; Docente ; Participante Externo ; Participante Externo ; Participante Externo
2015,GRAD-SHAFRANOV RECONSTRUCTION: OVERVIEW AND IMPROVEMENT OF THE NUMERICAL SOLUTION USED IN SPACE PHYSICS,Sim,0103-9733,Brazilian Journal of Physics (Impresso),,[http://link.springer.com/article/10.1007/s13538-015-0342-y][doi:10.1007/s13538-015-0342-y],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,ARIAN OJEDA GONZALEZ ; MARGARETE OLIVEIRA DOMINGUES ; ODIM MENDES JUNIOR ; MAGDA KIMICO KAIBARA ; ALAN PRESTES,Participante Externo ; Docente ; Participante Externo ; Participante Externo ; Participante Externo
2015,HEAT EXCHANGER OPTIMIZATION OF A CLOSED BRAYTON CYCLE FOR NUCLEAR SPACE PROPULSION,Sim,,,,-,BIBLIOGRÁFICA,TRABALHO EM ANAIS,Português,LAMARTINE NOGUEIRA FRUTUOSO GUIMARAES,Docente
2015,HIGH POWER RF GENERATION IN NONLINEAR LUMPED TRANSMISSION LINES USING COMMERCIAL CERAMIC CAPACITOR AS NONLINEAR ELEMENTS,Sim,,,,[http://ieeexplore.ieee.org],BIBLIOGRÁFICA,TRABALHO EM ANAIS,Inglês,LAURO PAULO DA SILVA NETO ; JOSE OSVALDO ROSSI ; JOAQUIM JOSE BARROSO DE CASTRO,Participante Externo ; Participante Externo ; Docente
2015,H-SWITCH COVER: A NEW TEST CRITERION TO GENERATE TEST CASE FROM FINITE STATE MACHINES,Sim,0963-9314,Software Quality Journal,,[doi:10.1007/s11219-015-9300-8],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Inglês,ERICA FERREIRA DE SOUZA ; VALDIVINO ALEXANDRE DE SANTIAGO JUNIOR ; NANDAMUDI LANKALAPALLI VIJAYKUMAR,Participante Externo ; Docente ; Docente
2015,HYDROC - AN OPEN SOURCE HYDROLOGICAL LIBRARY WITH EDUCATIONAL PURPOSES,Sim,1988-3145,Modelling in Science Education and Learning,,[doi:10.4995/msel.2015.2338],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Português,SOLON VENANCIO DE CARVALHO,Docente
2015,IDENTIFICATION OF GASES BY POROUS OPTICAL SENSORS USING REFLECTIVITY DIFFERENCE AND WAVELENGTH SHIFT,Sim,1041-1135,IEEE Photonics Technology Letters,,[http://www.ieee.org][doi:10.1109/lpt.2014.2385811],BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,Português,JOAQUIM JOSE BARROSO DE CASTRO,Docente
